customer_id,customer_segment,acquisition_channel,location,age,gender,total_orders,total_units,total_revenue,net_revenue,total_cost,gross_profit,gross_margin_percentage,average_order_value,first_purchase_date,last_purchase_date,recency_days,customer_lifespan_days,total_interactions,views,clicks,add_to_carts,email_opens,channels_used,interaction_types_used,has_interaction_history,annualized_order_frequency,click_rate,add_to_cart_rate,email_open_share,future_orders,future_revenue,churned
C00007,high,ads,Bhubaneswar,27,female,105,217,2585990,2347321.23,1855999.01,491322.2199999999,20.93,22355.44,2024-01-21,2025-12-31,0,710,727,380,167,110,70,3,4,1,53.98,0.2297,0.1513,0.0963,19,465523.65,0
C00811,high,organic,Mumbai,33,male,88,187,2248790,2093536.19,1614239.51,479296.67999999993,22.89,23790.18,2024-03-03,2025-12-29,2,666,645,301,173,104,67,3,4,1,48.23,0.2682,0.1612,0.1039,16,294355.59,0
C00099,high,organic,Delhi,42,male,79,166,2245158,2085638.3,1587658.29,497980.01,23.88,26400.48,2024-03-09,2025-12-29,2,660,650,321,167,94,68,3,4,1,43.69,0.2569,0.1446,0.1046,7,252326.31999999998,0
C00096,high,referral,Mumbai,36,other,93,189,2204099,2025062.95,1555988.38,469074.57,23.16,21774.87,2024-02-23,2025-12-28,3,674,700,352,163,110,75,3,4,1,50.36,0.2329,0.1571,0.1071,11,293446.15,0
C01204,high,organic,Ahmedabad,42,female,84,177,2030074,1873691.9,1438079.19,435612.7099999999,23.25,22305.86,2024-02-02,2025-12-28,3,695,697,347,187,102,61,3,4,1,44.12,0.2683,0.1463,0.0875,11,328545.37,0
C00816,high,ads,Ahmedabad,36,male,89,173,1987403,1823238.8599999999,1430342.83,392896.0299999999,21.55,20485.83,2024-04-25,2025-12-28,3,612,623,306,157,98,62,3,4,1,53.08,0.252,0.1573,0.0995,13,387526.95999999996,0
C00526,high,ads,Bhubaneswar,31,male,72,151,1926295,1785754.3599999999,1354086.4,431667.95999999996,24.17,24802.14,2024-07-16,2025-12-19,12,521,554,267,147,76,64,3,4,1,50.44,0.2653,0.1372,0.1155,11,137862.24,0
C00275,high,ads,Jaipur,53,male,67,136,1835481,1658547.03,1318969.82,339577.20999999996,20.47,24754.43,2024-06-17,2025-12-31,0,562,556,299,131,69,57,3,4,1,43.51,0.2356,0.1241,0.1025,15,148728.31,0
C00870,high,organic,Mumbai,33,female,91,194,1812649,1677755.64,1285565.8,392189.83999999997,23.38,18436.88,2024-03-01,2025-12-30,1,669,663,338,159,99,67,3,4,1,49.65,0.2398,0.1493,0.1011,6,46962.6,0
C00315,high,organic,Jaipur,52,female,79,156,1754525,1619273.4,1261320.48,357952.92,22.11,20497.13,2024-03-06,2025-12-28,3,662,641,302,170,102,67,3,4,1,43.56,0.2652,0.1591,0.1045,14,275959.2,0
