customer_id,customer_segment,acquisition_channel,location,age,gender,total_orders,total_units,total_revenue,net_revenue,total_cost,gross_profit,gross_margin_percentage,average_order_value,first_purchase_date,last_purchase_date,recency_days,customer_lifespan_days,total_interactions,views,clicks,add_to_carts,email_opens,channels_used,interaction_types_used,has_interaction_history,annualized_order_frequency,click_rate,add_to_cart_rate,email_open_share,future_orders,future_revenue,churned,churn_probability,churn_probability_percentage,predicted_churn,rfm_recency_score,rfm_frequency_score,rfm_monetary_score,rfm_score,rfm_total_score,rfm_segment,churn_risk,customer_value,expected_revenue_at_risk,expected_profit_at_risk,retention_score,retention_priority,retention_action,retention_rank
C00161,low,referral,Mumbai,18,female,1,2,47274,36400.98,36716.0,-315.0199999999968,-0.87,36400.98,2025-09-11,2025-09-11,111,0,30,18,6,2,4,3,4,1,1.0,0.2,0.0667,0.1333,0,0.0,1,0.9762599206349206,97.62599206349206,1,1,1,1,111,3,Hibernating,High Risk,47274.0,46151.711488095236,46151.711488095236,0.9699123374984746,High,Targeted retention campaign,1
C00819,low,organic,Hyderabad,42,male,5,10,181496,173353.49000000002,133543.69,39809.8,22.96,34670.7,2024-04-22,2025-03-12,294,324,58,29,14,9,6,3,4,1,5.63,0.2414,0.1552,0.1034,0,0.0,1,0.9763698462485227,97.63698462485227,1,1,2,2,122,5,Hibernating,High Risk,39809.8,177207.22161472187,38869.08830518444,0.9638355350609826,High,Targeted retention campaign,2
C00134,low,organic,Jaipur,36,other,1,3,147741,141831.36,105299.7,36531.65999999997,25.76,141831.36,2025-02-14,2025-02-14,320,0,62,34,18,7,3,3,4,1,1.0,0.2903,0.1129,0.0484,0,0.0,1,0.9802256297446514,98.02256297446515,1,1,1,2,112,4,Hibernating,High Risk,36531.65999999997,144819.51476410456,35809.26942911746,0.9632162353028724,High,Targeted retention campaign,3
C01082,low,organic,Chennai,64,male,5,13,208281,178617.72,142693.25999999998,35924.46000000001,20.11,35723.54,2024-11-21,2025-09-12,110,295,91,60,11,12,8,3,4,1,6.19,0.1209,0.1319,0.0879,0,0.0,1,0.9601861341273108,96.01861341273109,1,1,2,3,123,6,Hibernating,High Risk,35924.46000000001,199988.52820217042,34494.16836801122,0.949854198331211,High,Targeted retention campaign,4
C00341,low,organic,Mumbai,30,female,1,2,90422,89517.78,68421.32,21096.459999999992,23.57,89517.78,2024-02-28,2024-02-28,672,0,13,8,1,2,2,3,4,1,1.0,0.0769,0.1538,0.1538,0,0.0,1,0.9885341614906832,98.85341614906832,1,1,1,2,112,4,Hibernating,High Risk,21096.459999999992,89385.23595031055,20854.57139652173,0.9488637614144029,High,Targeted retention campaign,5
C00620,low,organic,Kolkata,32,female,1,2,83204,79875.84,54922.98,24952.859999999997,31.24,79875.84,2025-05-09,2025-05-09,236,0,27,9,12,3,3,3,4,1,1.0,0.4444,0.1111,0.1111,0,0.0,1,0.9737846575224293,97.37846575224293,1,1,1,2,112,4,Hibernating,High Risk,24952.859999999997,81022.77864449621,24298.71222930512,0.9454812230177227,High,Targeted retention campaign,6
C00482,low,ads,Jaipur,47,male,2,6,75072,70133.15999999999,51008.04,19125.11999999999,27.27,35066.58,2025-06-21,2025-09-30,92,101,30,18,6,5,1,3,4,1,7.23,0.2,0.1667,0.0333,0,0.0,1,0.9838938492063493,98.38938492063492,1,1,1,2,112,4,Hibernating,High Risk,19125.11999999999,73862.87904761905,18817.087933333325,0.9424023546961244,High,Targeted retention campaign,7
C00424,low,ads,Delhi,48,male,2,3,101125,95531.12,68977.66,26553.46,27.8,47765.56,2025-03-25,2025-07-17,167,114,47,19,15,9,4,3,4,1,6.4,0.3191,0.1915,0.0851,0,0.0,1,0.9638772130647131,96.3877213064713,1,1,1,2,112,4,Hibernating,High Risk,26553.46,97472.08317116911,25594.275022025337,0.9413947517684798,High,Targeted retention campaign,8
C01195,low,organic,Kolkata,48,male,2,3,73286,73175.6,53874.23,19301.37,26.38,36587.8,2024-03-01,2024-05-01,609,61,31,15,8,4,4,3,4,1,11.97,0.2581,0.129,0.129,0,0.0,1,0.9812667748917749,98.1266774891775,1,1,1,2,112,4,Hibernating,High Risk,19301.37,71913.11686471861,18939.793090892857,0.9410585928325501,High,Targeted retention campaign,9
C00322,low,ads,Mumbai,33,female,4,6,66265,58773.45,42379.21,16394.239999999998,27.89,14693.36,2024-04-17,2024-12-22,374,249,58,27,14,10,7,3,4,1,5.86,0.2414,0.1724,0.1207,0,0.0,1,0.9787525676937442,97.87525676937442,1,1,2,2,122,5,Hibernating,High Risk,16394.239999999998,64857.03889822596,16045.904495387487,0.933619378617785,High,Targeted retention campaign,10
C00573,low,referral,Bangalore,25,male,1,1,41602,41185.98,27461.49,13724.490000000002,33.32,41185.98,2025-01-22,2025-01-22,343,0,41,22,9,4,6,3,4,1,1.0,0.2195,0.0976,0.1463,0,0.0,1,0.9878650793650795,98.78650793650795,1,1,1,1,111,3,Hibernating,High Risk,13724.490000000002,41097.16303174604,13557.944403095242,0.9330607787460636,High,Targeted retention campaign,11
C00566,low,ads,Bhubaneswar,24,male,4,5,113855,102943.91,82201.03,20742.87999999999,20.15,25735.98,2024-04-28,2024-06-09,570,42,23,11,6,5,1,3,4,1,34.76,0.2609,0.2174,0.0435,0,0.0,1,0.9612209465371232,96.12209465371232,1,1,2,2,122,5,Hibernating,High Risk,20742.87999999999,109439.81086798417,19938.49074750595,0.9308690962288177,High,Targeted retention campaign,12
C00023,low,organic,Delhi,41,female,1,2,33550,31537.0,20262.08,11274.919999999998,35.75,31537.0,2025-02-24,2025-02-24,310,0,9,3,4,2,0,2,3,1,1.0,0.4444,0.2222,0.0,0,0.0,1,0.9924930555555557,99.24930555555557,1,1,1,1,111,3,Hibernating,High Risk,11274.919999999998,33298.14201388889,11190.279801944444,0.9289729434031706,High,Targeted retention campaign,13
C00587,low,organic,Hyderabad,35,female,2,4,134204,126956.16999999998,105991.54,20964.62999999999,16.51,63478.08,2025-11-23,2025-12-14,17,21,4,0,2,2,0,2,2,1,34.76,0.5,0.5,0.0,0,0.0,1,0.9549595404595407,95.49595404595406,1,3,1,2,312,6,Needs Attention,High Risk,20964.62999999999,128159.3901678322,20020.37343070429,0.9272588422157515,High,Targeted retention campaign,14
C00040,low,ads,Ahmedabad,27,female,2,4,121068,110776.2,79460.98999999999,31315.210000000006,28.27,55388.1,2025-12-02,2025-12-24,7,22,6,3,1,2,0,2,3,1,33.18,0.1667,0.3333,0.0,0,0.0,1,0.9315684523809525,93.15684523809526,1,4,1,2,412,7,Recent Customers,High Risk,31315.210000000006,112783.12939285717,29172.261715684534,0.9266897774422674,High,Targeted retention campaign,15
