customer_id,signup_date,customer_segment,location,acquisition_channel,age,gender,signup_year,signup_month
C00001,2024-04-12,medium,Bhubaneswar,ads,25,male,2024,2024-04
C00002,2025-03-11,high,Hyderabad,referral,47,female,2025,2025-03
C00003,2024-09-27,low,Ahmedabad,organic,46,female,2024,2024-09
C00004,2024-04-16,medium,Bangalore,organic,38,male,2024,2024-04
C00005,2024-03-12,high,Hyderabad,referral,37,female,2024,2024-03
C00006,2025-12-01,high,Chennai,ads,29,male,2025,2025-12
C00007,2024-01-21,high,Bhubaneswar,ads,27,female,2024,2024-01
C00008,2025-09-06,high,Kolkata,ads,31,other,2025,2025-09
C00009,2024-05-01,medium,Kolkata,ads,19,female,2024,2024-05
C00010,2025-04-11,low,Jaipur,ads,37,female,2025,2025-04
C00011,2024-08-02,high,Jaipur,referral,35,female,2024,2024-08
C00012,2024-11-26,high,Chennai,ads,25,female,2024,2024-11
C00013,2025-04-03,medium,Hyderabad,organic,50,female,2025,2025-04
C00014,2024-03-28,low,Kolkata,ads,41,male,2024,2024-03
C00015,2025-01-07,medium,Mumbai,ads,41,male,2025,2025-01
C00016,2024-04-09,medium,Mumbai,ads,30,female,2024,2024-04
C00017,2025-10-25,medium,Bangalore,ads,34,male,2025,2025-10
C00018,2024-05-10,medium,Mumbai,organic,41,female,2024,2024-05
C00019,2025-10-23,high,Delhi,ads,36,female,2025,2025-10
C00020,2024-11-04,low,Bhubaneswar,ads,51,male,2024,2024-11
C00021,2024-12-09,medium,Chennai,ads,32,male,2024,2024-12
C00022,2025-05-06,medium,Jaipur,ads,29,female,2025,2025-05
C00023,2025-02-17,low,Delhi,organic,41,female,2025,2025-02
C00024,2025-01-20,medium,Ahmedabad,ads,22,male,2025,2025-01
C00025,2024-07-10,medium,Bhubaneswar,ads,44,female,2024,2024-07
C00026,2024-10-03,medium,Kolkata,ads,21,female,2024,2024-10
C00027,2024-06-09,high,Bhubaneswar,ads,41,female,2024,2024-06
C00028,2025-04-04,high,Jaipur,ads,28,female,2025,2025-04
C00029,2024-11-09,medium,Pune,organic,39,male,2024,2024-11
C00030,2024-01-22,low,Pune,ads,44,female,2024,2024-01
C00031,2024-09-09,low,Delhi,organic,36,male,2024,2024-09
C00032,2025-07-14,medium,Hyderabad,ads,23,male,2025,2025-07
C00033,2025-04-19,high,Kolkata,organic,26,male,2025,2025-04
C00034,2024-02-28,high,Jaipur,organic,27,male,2024,2024-02
C00035,2025-05-25,low,Jaipur,ads,18,female,2025,2025-05
C00036,2025-11-12,medium,Jaipur,ads,46,male,2025,2025-11
C00037,2025-04-20,medium,Mumbai,ads,36,female,2025,2025-04
C00038,2025-11-30,low,Jaipur,ads,23,female,2025,2025-11
C00039,2024-07-08,low,Pune,ads,49,female,2024,2024-07
C00040,2025-11-17,low,Ahmedabad,ads,27,female,2025,2025-11
C00041,2025-07-16,high,Chennai,ads,37,other,2025,2025-07
C00042,2025-07-20,low,Bhubaneswar,ads,26,male,2025,2025-07
C00043,2024-08-31,low,Chennai,ads,18,female,2024,2024-08
C00044,2025-05-19,medium,Pune,ads,21,male,2025,2025-05
C00045,2024-05-10,medium,Pune,referral,30,female,2024,2024-05
C00046,2025-04-29,medium,Ahmedabad,organic,43,male,2025,2025-04
C00047,2025-10-08,low,Bangalore,referral,38,female,2025,2025-10
C00048,2024-01-21,high,Delhi,organic,36,male,2024,2024-01
C00049,2024-06-15,medium,Mumbai,organic,18,male,2024,2024-06
C00050,2024-09-30,high,Hyderabad,organic,47,female,2024,2024-09
C00051,2025-01-22,low,Jaipur,ads,37,female,2025,2025-01
C00052,2025-08-23,high,Jaipur,organic,33,male,2025,2025-08
C00053,2024-11-11,medium,Ahmedabad,referral,46,female,2024,2024-11
C00054,2024-01-14,medium,Bangalore,referral,47,male,2024,2024-01
C00055,2024-08-29,low,Jaipur,ads,46,female,2024,2024-08
C00056,2024-12-11,medium,Mumbai,ads,32,female,2024,2024-12
C00057,2025-07-18,high,Delhi,referral,24,male,2025,2025-07
C00058,2024-12-05,low,Mumbai,referral,44,male,2024,2024-12
C00059,2024-04-01,medium,Bangalore,ads,21,male,2024,2024-04
C00060,2025-01-01,low,Pune,ads,54,male,2025,2025-01
C00061,2025-03-30,high,Mumbai,ads,35,female,2025,2025-03
C00062,2025-03-03,medium,Chennai,ads,24,female,2025,2025-03
C00063,2025-05-23,medium,Mumbai,organic,22,other,2025,2025-05
C00064,2024-02-04,high,Pune,ads,22,male,2024,2024-02
C00065,2024-07-24,medium,Jaipur,organic,36,female,2024,2024-07
C00066,2024-03-21,medium,Bhubaneswar,organic,34,male,2024,2024-03
C00067,2025-07-15,low,Bhubaneswar,ads,22,female,2025,2025-07
C00068,2025-01-22,medium,Bhubaneswar,referral,31,male,2025,2025-01
C00069,2024-01-02,medium,Jaipur,referral,21,other,2024,2024-01
C00070,2025-01-24,medium,Ahmedabad,ads,40,male,2025,2025-01
C00071,2025-07-19,low,Delhi,ads,34,female,2025,2025-07
C00072,2024-04-15,medium,Delhi,organic,31,male,2024,2024-04
C00073,2025-04-21,medium,Jaipur,ads,22,female,2025,2025-04
C00074,2025-12-03,medium,Mumbai,organic,31,female,2025,2025-12
C00075,2025-02-05,medium,Hyderabad,organic,30,female,2025,2025-02
C00076,2025-12-30,medium,Delhi,ads,38,female,2025,2025-12
C00077,2025-07-09,low,Chennai,organic,36,male,2025,2025-07
C00078,2024-06-10,medium,Chennai,organic,42,male,2024,2024-06
C00079,2024-07-20,low,Kolkata,referral,30,female,2024,2024-07
C00080,2024-09-26,high,Chennai,organic,18,male,2024,2024-09
C00081,2024-09-27,medium,Delhi,organic,44,female,2024,2024-09
C00082,2025-03-31,low,Hyderabad,organic,25,female,2025,2025-03
C00083,2025-04-06,high,Pune,organic,23,male,2025,2025-04
C00084,2025-12-27,low,Bhubaneswar,organic,34,female,2025,2025-12
C00085,2024-09-08,medium,Mumbai,ads,38,female,2024,2024-09
C00086,2025-12-02,low,Pune,organic,29,female,2025,2025-12
C00087,2024-10-22,medium,Hyderabad,referral,29,female,2024,2024-10
C00088,2025-12-25,medium,Ahmedabad,organic,31,male,2025,2025-12
C00089,2025-12-20,high,Bhubaneswar,ads,49,female,2025,2025-12
C00090,2024-12-03,medium,Kolkata,ads,34,male,2024,2024-12
C00091,2024-02-22,high,Ahmedabad,ads,25,female,2024,2024-02
C00092,2024-08-04,high,Delhi,ads,25,male,2024,2024-08
C00093,2024-07-06,high,Hyderabad,referral,32,male,2024,2024-07
C00094,2025-01-14,medium,Bhubaneswar,organic,37,female,2025,2025-01
C00095,2025-05-07,low,Kolkata,ads,39,male,2025,2025-05
C00096,2024-02-10,high,Mumbai,referral,36,other,2024,2024-02
C00097,2024-06-05,high,Mumbai,organic,26,male,2024,2024-06
C00098,2024-01-15,medium,Jaipur,organic,30,male,2024,2024-01
C00099,2024-03-05,high,Delhi,organic,42,male,2024,2024-03
C00100,2025-06-04,high,Chennai,ads,23,male,2025,2025-06
C00101,2024-12-09,high,Hyderabad,organic,30,female,2024,2024-12
C00102,2024-05-08,low,Kolkata,organic,40,female,2024,2024-05
C00103,2025-10-09,low,Kolkata,ads,43,male,2025,2025-10
C00104,2025-04-16,medium,Chennai,ads,33,male,2025,2025-04
C00105,2024-03-03,medium,Chennai,organic,30,male,2024,2024-03
C00106,2024-05-18,medium,Ahmedabad,organic,21,male,2024,2024-05
C00107,2025-05-13,medium,Bhubaneswar,ads,40,female,2025,2025-05
C00108,2025-08-15,medium,Ahmedabad,referral,48,female,2025,2025-08
C00109,2025-01-26,medium,Bangalore,ads,60,female,2025,2025-01
C00110,2025-11-05,medium,Bangalore,ads,38,other,2025,2025-11
C00111,2025-02-22,high,Delhi,organic,34,female,2025,2025-02
C00112,2024-10-15,medium,Jaipur,organic,25,female,2024,2024-10
C00113,2025-01-13,low,Hyderabad,ads,18,male,2025,2025-01
C00114,2025-05-04,medium,Kolkata,referral,36,female,2025,2025-05
C00115,2024-08-18,low,Bhubaneswar,ads,58,female,2024,2024-08
C00116,2024-02-10,low,Mumbai,referral,47,male,2024,2024-02
C00117,2024-01-28,high,Mumbai,referral,46,female,2024,2024-01
C00118,2024-05-14,medium,Pune,organic,37,other,2024,2024-05
C00119,2024-07-19,medium,Chennai,organic,38,female,2024,2024-07
C00120,2024-02-02,low,Delhi,organic,18,male,2024,2024-02
C00121,2024-02-17,low,Pune,organic,42,female,2024,2024-02
C00122,2025-05-17,medium,Pune,organic,29,other,2025,2025-05
C00123,2025-02-10,medium,Jaipur,referral,27,male,2025,2025-02
C00124,2025-07-27,low,Hyderabad,organic,31,female,2025,2025-07
C00125,2025-12-28,high,Kolkata,organic,31,female,2025,2025-12
C00126,2024-04-08,low,Bhubaneswar,organic,27,male,2024,2024-04
C00127,2025-11-14,low,Mumbai,referral,35,female,2025,2025-11
C00128,2025-12-26,medium,Mumbai,ads,29,male,2025,2025-12
C00129,2025-06-30,medium,Mumbai,referral,36,female,2025,2025-06
C00130,2025-09-04,medium,Bangalore,referral,20,female,2025,2025-09
C00131,2025-04-06,medium,Hyderabad,ads,32,female,2025,2025-04
C00132,2025-10-04,medium,Delhi,organic,24,male,2025,2025-10
C00133,2024-01-05,low,Mumbai,organic,28,female,2024,2024-01
C00134,2024-08-05,low,Jaipur,organic,36,other,2024,2024-08
C00135,2025-05-17,low,Mumbai,ads,18,male,2025,2025-05
C00136,2025-02-01,high,Delhi,organic,26,female,2025,2025-02
C00137,2025-01-27,low,Bangalore,organic,40,male,2025,2025-01
C00138,2024-07-25,low,Jaipur,ads,20,male,2024,2024-07
C00139,2024-01-15,medium,Pune,ads,52,female,2024,2024-01
C00140,2025-07-07,high,Delhi,ads,47,female,2025,2025-07
C00141,2025-04-05,medium,Pune,organic,30,female,2025,2025-04
C00142,2025-11-21,low,Chennai,referral,27,male,2025,2025-11
C00143,2025-07-28,medium,Ahmedabad,ads,37,male,2025,2025-07
C00144,2024-08-28,low,Mumbai,organic,20,female,2024,2024-08
C00145,2025-07-17,medium,Delhi,ads,18,male,2025,2025-07
C00146,2024-04-05,low,Ahmedabad,referral,30,male,2024,2024-04
C00147,2025-04-29,high,Bhubaneswar,organic,33,female,2025,2025-04
C00148,2025-02-10,medium,Jaipur,organic,35,female,2025,2025-02
C00149,2024-08-18,medium,Hyderabad,ads,28,male,2024,2024-08
