interaction_id,customer_id,interaction_type,product_id,interaction_timestamp,channel,interaction_date,interaction_hour,interaction_month
1,C00001,view,P0069,2024-04-18,app,2024-04-18,0,2024-04
2,C00001,click,,2024-04-27,web,2024-04-27,0,2024-04
3,C00001,click,,2024-05-06,app,2024-05-06,0,2024-05
4,C00001,click,,2024-05-23,web,2024-05-23,0,2024-05
5,C00001,view,P0033,2024-05-05,app,2024-05-05,0,2024-05
6,C00001,view,P0028,2024-05-08,app,2024-05-08,0,2024-05
7,C00001,view,P0064,2024-05-22,app,2024-05-22,0,2024-05
8,C00001,click,,2024-05-07,web,2024-05-07,0,2024-05
9,C00001,view,P0001,2024-05-01,web,2024-05-01,0,2024-05
10,C00001,add_to_cart,P0016,2024-05-18,web,2024-05-18,0,2024-05
11,C00001,email_open,,2024-05-07,email,2024-05-07,0,2024-05
12,C00001,click,P0078,2024-05-18,web,2024-05-18,0,2024-05
13,C00001,add_to_cart,P0007,2024-05-26,web,2024-05-26,0,2024-05
14,C00001,add_to_cart,,2024-05-16,web,2024-05-16,0,2024-05
15,C00001,click,,2024-05-18,app,2024-05-18,0,2024-05
16,C00001,view,P0098,2024-05-01,app,2024-05-01,0,2024-05
17,C00001,click,P0010,2024-05-09,web,2024-05-09,0,2024-05
18,C00001,view,P0082,2024-05-22,app,2024-05-22,0,2024-05
19,C00001,view,P0077,2024-06-14,app,2024-06-14,0,2024-06
20,C00001,view,P0023,2024-06-05,app,2024-06-05,0,2024-06
21,C00001,view,P0006,2024-06-04,web,2024-06-04,0,2024-06
22,C00001,view,P0078,2024-06-11,app,2024-06-11,0,2024-06
23,C00001,view,,2024-06-13,web,2024-06-13,0,2024-06
24,C00001,click,,2024-06-25,app,2024-06-25,0,2024-06
25,C00001,add_to_cart,P0006,2024-06-21,web,2024-06-21,0,2024-06
26,C00001,email_open,P0102,2024-06-08,email,2024-06-08,0,2024-06
27,C00001,add_to_cart,P0107,2024-06-13,app,2024-06-13,0,2024-06
28,C00001,view,P0066,2024-06-21,app,2024-06-21,0,2024-06
29,C00001,click,P0031,2024-06-03,web,2024-06-03,0,2024-06
30,C00001,view,P0046,2024-06-29,web,2024-06-29,0,2024-06
31,C00001,view,P0056,2024-07-06,app,2024-07-06,0,2024-07
32,C00001,view,P0106,2024-07-06,app,2024-07-06,0,2024-07
33,C00001,view,P0045,2024-07-22,app,2024-07-22,0,2024-07
34,C00001,view,P0046,2024-07-22,web,2024-07-22,0,2024-07
35,C00001,click,P0027,2024-07-18,web,2024-07-18,0,2024-07
36,C00001,view,P0018,2024-07-11,app,2024-07-11,0,2024-07
37,C00001,view,P0097,2024-07-18,web,2024-07-18,0,2024-07
38,C00001,view,P0075,2024-07-15,app,2024-07-15,0,2024-07
39,C00001,view,P0043,2024-07-05,app,2024-07-05,0,2024-07
40,C00001,email_open,P0052,2024-07-04,email,2024-07-04,0,2024-07
41,C00001,email_open,P0051,2024-07-23,email,2024-07-23,0,2024-07
42,C00001,view,P0093,2024-07-18,web,2024-07-18,0,2024-07
43,C00001,view,P0091,2024-08-12,web,2024-08-12,0,2024-08
44,C00001,add_to_cart,P0115,2024-08-14,app,2024-08-14,0,2024-08
45,C00001,click,,2024-08-16,app,2024-08-16,0,2024-08
46,C00001,view,P0105,2024-08-26,web,2024-08-26,0,2024-08
47,C00001,click,P0049,2024-08-16,app,2024-08-16,0,2024-08
48,C00001,view,P0027,2024-08-29,app,2024-08-29,0,2024-08
49,C00001,email_open,P0032,2024-08-24,email,2024-08-24,0,2024-08
50,C00001,email_open,P0063,2024-08-30,email,2024-08-30,0,2024-08
51,C00001,click,,2024-08-01,web,2024-08-01,0,2024-08
52,C00001,view,P0060,2024-08-01,web,2024-08-01,0,2024-08
53,C00001,add_to_cart,,2024-08-26,app,2024-08-26,0,2024-08
54,C00001,view,,2024-08-21,web,2024-08-21,0,2024-08
55,C00001,view,P0115,2024-08-14,web,2024-08-14,0,2024-08
56,C00001,view,P0030,2024-09-22,app,2024-09-22,0,2024-09
57,C00001,add_to_cart,,2024-09-29,web,2024-09-29,0,2024-09
58,C00001,email_open,,2024-09-25,email,2024-09-25,0,2024-09
59,C00001,view,P0111,2024-09-16,web,2024-09-16,0,2024-09
60,C00001,add_to_cart,,2024-09-26,web,2024-09-26,0,2024-09
61,C00001,view,P0056,2024-09-19,web,2024-09-19,0,2024-09
62,C00001,add_to_cart,P0030,2024-09-01,web,2024-09-01,0,2024-09
63,C00001,view,,2024-09-11,web,2024-09-11,0,2024-09
64,C00001,add_to_cart,P0058,2024-09-04,app,2024-09-04,0,2024-09
65,C00001,click,P0086,2024-09-29,web,2024-09-29,0,2024-09
66,C00001,add_to_cart,P0065,2024-09-05,app,2024-09-05,0,2024-09
67,C00001,add_to_cart,,2024-09-22,web,2024-09-22,0,2024-09
68,C00001,click,P0018,2024-09-12,web,2024-09-12,0,2024-09
69,C00001,email_open,P0044,2024-09-17,email,2024-09-17,0,2024-09
70,C00001,click,P0025,2024-09-15,web,2024-09-15,0,2024-09
71,C00001,add_to_cart,P0076,2024-09-28,app,2024-09-28,0,2024-09
72,C00001,click,P0081,2024-09-06,web,2024-09-06,0,2024-09
73,C00001,email_open,P0026,2024-09-03,email,2024-09-03,0,2024-09
74,C00001,view,,2024-09-09,app,2024-09-09,0,2024-09
75,C00001,view,,2024-10-22,app,2024-10-22,0,2024-10
76,C00001,email_open,,2024-10-11,email,2024-10-11,0,2024-10
77,C00001,view,P0109,2024-10-18,app,2024-10-18,0,2024-10
78,C00001,click,P0074,2024-10-18,web,2024-10-18,0,2024-10
79,C00001,email_open,P0103,2024-10-12,email,2024-10-12,0,2024-10
80,C00001,view,,2024-10-01,web,2024-10-01,0,2024-10
81,C00001,view,P0008,2024-10-18,app,2024-10-18,0,2024-10
82,C00001,view,P0039,2024-10-15,web,2024-10-15,0,2024-10
83,C00001,click,,2024-10-12,app,2024-10-12,0,2024-10
84,C00001,view,,2024-10-07,web,2024-10-07,0,2024-10
85,C00001,view,,2024-10-02,app,2024-10-02,0,2024-10
86,C00001,view,P0091,2024-10-20,app,2024-10-20,0,2024-10
87,C00001,add_to_cart,,2024-10-10,app,2024-10-10,0,2024-10
