product_id,category,price,cost,launch_date,gross_margin,margin_percentage
P0001,clothing,4758,3463.85,2025-12-12,1294.15,27.199453551912573
P0002,beauty,1370,974.63,2024-11-20,395.37,28.859124087591244
P0003,electronics,49187,38650.16,2025-11-01,10536.839999999997,21.422001748429455
P0004,electronics,16775,10131.04,2025-03-03,6643.959999999999,39.60631892697466
P0005,home,8411,6297.29,2024-05-20,2113.71,25.130305552253002
P0006,beauty,2561,1835.33,2024-01-13,725.6700000000001,28.335415853182354
P0007,electronics,16826,11229.94,2024-03-14,5596.0599999999995,33.258409604183996
P0008,clothing,1087,863.94,2025-02-02,223.05999999999995,20.520699172033112
P0009,home,2189,1595.56,2024-05-13,593.44,27.110095934216538
P0010,beauty,260,180.41,2025-01-06,79.59,30.611538461538462
P0011,home,7915,6003.27,2024-02-13,1911.7299999999996,24.153253316487678
P0012,electronics,21340,14781.73,2024-09-07,6558.27,30.73228678537957
P0013,home,10349,7510.77,2024-06-24,2838.2299999999996,27.425161851386605
P0014,sports,5630,3416.15,2024-09-03,2213.85,39.322380106571934
P0015,sports,9498,6597.37,2024-07-30,2900.63,30.5393767108865
P0016,home,14117,9356.82,2024-02-11,4760.18,33.719487143160734
P0017,sports,9441,6212.42,2023-10-15,3228.58,34.197436712212685
P0018,electronics,17921,14054.68,2024-05-17,3866.3199999999997,21.574242508788572
P0019,clothing,4101,2700.0,2025-08-02,1401.0,34.162399414776885
P0020,beauty,1264,897.05,2025-05-08,366.95000000000005,29.030854430379748
P0021,electronics,22916,15478.26,2025-08-18,7437.74,32.456536917437596
P0022,sports,2633,1862.81,2024-12-22,770.19,29.25142423091531
P0023,clothing,2907,2287.17,2025-04-30,619.8299999999999,21.321981424148603
P0024,clothing,1856,1406.75,2024-02-08,449.25,24.205280172413794
P0025,electronics,23637,18358.0,2024-09-14,5279.0,22.33362947920633
P0026,clothing,1435,1044.0,2025-08-08,391.0,27.247386759581882
P0027,home,7517,4683.23,2026-03-09,2833.7700000000004,37.69815085805508
P0028,clothing,2009,1234.55,2025-06-30,774.45,38.5490293678447
P0029,electronics,38761,30645.62,2023-12-20,8115.380000000001,20.936972730321717
P0030,beauty,1840,1216.97,2025-02-15,623.03,33.86032608695652
P0031,electronics,28113,18844.59,2023-09-14,9268.41,32.96841318962757
P0032,beauty,1956,1416.13,2025-01-29,539.8699999999999,27.600715746421262
P0033,clothing,1275,969.84,2026-03-20,305.15999999999997,23.934117647058823
P0034,clothing,3950,2825.67,2024-10-02,1124.33,28.46405063291139
P0035,clothing,2894,1870.41,2023-09-17,1023.5899999999999,35.36938493434692
P0036,home,2526,1678.81,2024-03-23,847.19,33.538796516231194
P0037,beauty,2576,1966.71,2024-10-15,609.29,23.652562111801238
