transaction_id,customer_id,product_id,transaction_date,quantity,price,discount,launch_date,transaction_before_product_launch,gross_revenue,discount_amount,revenue,transaction_year,transaction_month
1,C00001,P0078,2024-05-18,1,30202,0.07,2025-07-20,1,30202,2114.1400000000003,28087.86,2024,2024-05
2,C00001,P0007,2024-05-26,3,16826,0.04,2024-03-14,0,50478,2019.1200000000001,48458.88,2024,2024-05
3,C00001,P0082,2024-05-22,2,6509,0.05,2025-07-15,1,13018,650.9000000000001,12367.1,2024,2024-05
4,C00001,P0115,2024-08-14,3,7554,0.2,2023-12-13,0,22662,4532.400000000001,18129.6,2024,2024-08
5,C00001,P0065,2024-09-05,1,4389,0.01,2025-07-26,1,4389,43.89,4345.11,2024,2024-09
6,C00001,P0067,2024-10-04,1,2745,0.03,2024-12-26,1,2745,82.35,2662.65,2024,2024-10
7,C00001,P0001,2024-11-02,2,4758,0.05,2025-12-12,1,9516,475.8,9040.2,2024,2024-11
8,C00001,P0092,2024-12-19,2,803,0.13,2024-07-26,0,1606,208.78,1397.22,2024,2024-12
9,C00001,P0072,2025-01-12,3,42315,0.07,2024-09-05,0,126945,8886.150000000001,118058.85,2025,2025-01
10,C00001,P0087,2025-03-22,1,1522,0.04,2025-07-27,1,1522,60.88,1461.12,2025,2025-03
11,C00001,P0116,2025-03-22,2,8497,0.07,2025-10-16,1,16994,1189.5800000000002,15804.42,2025,2025-03
12,C00001,P0058,2025-03-10,3,450,0.09,2025-04-23,1,1350,121.5,1228.5,2025,2025-03
13,C00001,P0066,2025-03-03,1,2073,0.0,2025-04-09,1,2073,0.0,2073.0,2025,2025-03
14,C00001,P0106,2025-03-31,1,1474,0.05,2024-08-28,0,1474,73.7,1400.3,2025,2025-03
15,C00001,P0081,2025-04-12,1,2835,0.05,2024-08-09,0,2835,141.75,2693.25,2025,2025-04
16,C00001,P0039,2025-04-20,1,4937,0.06,2025-02-20,0,4937,296.21999999999997,4640.78,2025,2025-04
17,C00001,P0016,2025-05-20,3,14117,0.03,2024-02-11,0,42351,1270.53,41080.47,2025,2025-05
18,C00001,P0100,2025-09-07,2,2523,0.09,2023-11-19,0,5046,454.14,4591.86,2025,2025-09
19,C00001,P0071,2025-10-02,2,30313,0.12,2026-03-19,1,60626,7275.12,53350.88,2025,2025-10
20,C00001,P0092,2025-10-27,1,803,0.07,2024-07-26,0,803,56.21000000000001,746.79,2025,2025-10
21,C00001,P0081,2025-11-18,1,2835,0.09,2024-08-09,0,2835,255.14999999999998,2579.85,2025,2025-11
22,C00001,P0117,2025-11-16,2,22643,0.03,2025-09-07,0,45286,1358.58,43927.42,2025,2025-11
23,C00001,P0107,2025-11-26,3,4638,0.05,2024-08-31,0,13914,695.7,13218.3,2025,2025-11
24,C00001,P0058,2025-12-07,1,450,0.01,2025-04-23,0,450,4.5,445.5,2025,2025-12
25,C00001,P0067,2025-12-26,3,2745,0.09,2024-12-26,0,8235,741.15,7493.85,2025,2025-12
26,C00001,P0023,2025-12-07,1,2907,0.06,2025-04-30,0,2907,174.42,2732.58,2025,2025-12
27,C00001,P0076,2025-12-16,3,6650,0.08,2024-08-12,0,19950,1596.0,18354.0,2025,2025-12
28,C00001,P0013,2026-01-07,1,10349,0.18,2024-06-24,0,10349,1862.82,8486.18,2026,2026-01
29,C00001,P0037,2026-02-23,3,2576,0.17,2024-10-15,0,7728,1313.76,6414.24,2026,2026-02
30,C00001,P0052,2026-02-20,1,2681,0.05,2024-05-18,0,2681,134.05,2546.95,2026,2026-02
31,C00001,P0100,2026-03-10,2,2523,0.0,2023-11-19,0,5046,0.0,5046.0,2026,2026-03
32,C00002,P0035,2025-03-20,2,2894,0.11,2023-09-17,0,5788,636.68,5151.32,2025,2025-03
33,C00002,P0097,2025-03-29,3,6138,0.05,2025-06-02,1,18414,920.7,17493.3,2025,2025-03
34,C00002,P0067,2025-03-30,1,2745,0.07,2024-12-26,0,2745,192.15,2552.85,2025,2025-03
35,C00002,P0057,2025-03-25,3,19313,0.05,2025-08-13,1,57939,2896.9500000000003,55042.05,2025,2025-03
36,C00002,P0078,2025-04-16,1,30202,0.09,2025-07-20,1,30202,2718.18,27483.82,2025,2025-04
37,C00002,P0026,2025-04-05,3,1435,0.19,2025-08-08,1,4305,817.95,3487.05,2025,2025-04
38,C00002,P0082,2025-04-25,1,6509,0.02,2025-07-15,1,6509,130.18,6378.82,2025,2025-04
39,C00002,P0019,2025-04-25,2,4101,0.23,2025-08-02,1,8202,1886.46,6315.54,2025,2025-04
40,C00002,P0019,2025-04-24,3,4101,0.1,2025-08-02,1,12303,1230.3000000000002,11072.7,2025,2025-04
41,C00002,P0026,2025-05-01,1,1435,0.05,2025-08-08,1,1435,71.75,1363.25,2025,2025-05
42,C00002,P0081,2025-05-01,2,2835,0.03,2024-08-09,0,5670,170.1,5499.9,2025,2025-05
43,C00002,P0099,2025-05-13,2,1702,0.07,2025-02-04,0,3404,238.28000000000003,3165.72,2025,2025-05
44,C00002,P0087,2025-06-01,3,1522,0.01,2025-07-27,1,4566,45.660000000000004,4520.34,2025,2025-06
45,C00002,P0081,2025-06-08,2,2835,0.1,2024-08-09,0,5670,567.0,5103.0,2025,2025-06
46,C00002,P0056,2025-07-18,2,33217,0.04,2026-01-07,1,66434,2657.36,63776.64,2025,2025-07
47,C00002,P0035,2025-07-30,3,2894,0.04,2023-09-17,0,8682,347.28000000000003,8334.72,2025,2025-07
48,C00002,P0056,2025-07-11,3,33217,0.08,2026-01-07,1,99651,7972.08,91678.92,2025,2025-07
49,C00002,P0044,2025-08-28,1,1799,0.01,2025-08-27,0,1799,17.990000000000002,1781.01,2025,2025-08
50,C00002,P0044,2025-08-31,1,1799,0.04,2025-08-27,0,1799,71.96000000000001,1727.04,2025,2025-08
51,C00002,P0082,2025-08-04,1,6509,0.06,2025-07-15,0,6509,390.53999999999996,6118.46,2025,2025-08
52,C00002,P0057,2025-09-23,2,19313,0.05,2025-08-13,0,38626,1931.3000000000002,36694.7,2025,2025-09
53,C00002,P0060,2025-09-16,3,11069,0.08,2025-11-05,1,33207,2656.56,30550.44,2025,2025-09
54,C00002,P0118,2025-09-18,2,3405,0.08,2024-06-29,0,6810,544.8,6265.2,2025,2025-09
55,C00002,P0005,2025-09-13,1,8411,0.05,2024-05-20,0,8411,420.55,7990.45,2025,2025-09
56,C00002,P0110,2025-09-16,1,2108,0.04,2025-07-28,0,2108,84.32000000000001,2023.68,2025,2025-09
57,C00002,P0056,2025-09-05,3,33217,0.03,2026-01-07,1,99651,2989.5299999999997,96661.47,2025,2025-09
58,C00002,P0114,2025-10-18,2,856,0.13,2023-10-07,0,1712,222.56,1489.44,2025,2025-10
59,C00002,P0106,2025-10-27,1,1474,0.08,2024-08-28,0,1474,117.92,1356.08,2025,2025-10
60,C00002,P0021,2025-10-21,1,22916,0.08,2025-08-18,0,22916,1833.28,21082.72,2025,2025-10
61,C00002,P0050,2025-10-26,2,14239,0.04,2024-06-06,0,28478,1139.1200000000001,27338.88,2025,2025-10
62,C00002,P0029,2025-10-05,3,38761,0.16,2023-12-20,0,116283,18605.28,97677.72,2025,2025-10
63,C00002,P0028,2025-11-15,3,2009,0.01,2025-06-30,0,6027,60.27,5966.73,2025,2025-11
64,C00002,P0020,2025-11-25,2,1264,0.05,2025-05-08,0,2528,126.4,2401.6,2025,2025-11
65,C00002,P0018,2025-11-23,1,17921,0.08,2024-05-17,0,17921,1433.68,16487.32,2025,2025-11
66,C00002,P0111,2025-11-19,3,8250,0.07,2025-12-20,1,24750,1732.5000000000002,23017.5,2025,2025-11
67,C00002,P0106,2025-12-29,1,1474,0.07,2024-08-28,0,1474,103.18,1370.82,2025,2025-12
68,C00002,P0045,2025-12-18,1,3767,0.05,2025-04-25,0,3767,188.35000000000002,3578.65,2025,2025-12
69,C00002,P0107,2025-12-13,1,4638,0.1,2024-08-31,0,4638,463.8,4174.2,2025,2025-12
70,C00002,P0090,2026-01-01,3,1754,0.02,2025-04-09,0,5262,105.24000000000001,5156.76,2026,2026-01
71,C00002,P0086,2026-01-22,1,41602,0.04,2025-11-17,0,41602,1664.08,39937.92,2026,2026-01
72,C00002,P0103,2026-02-08,2,2740,0.1,2024-03-11,0,5480,548.0,4932.0,2026,2026-02
73,C00002,P0050,2026-03-14,3,14239,0.02,2024-06-06,0,42717,854.34,41862.66,2026,2026-03
74,C00002,P0092,2026-03-11,2,803,0.03,2024-07-26,0,1606,48.18,1557.82,2026,2026-03
75,C00002,P0062,2026-03-19,2,2148,0.09,2024-01-15,0,4296,386.64,3909.36,2026,2026-03
76,C00002,P0075,2026-03-22,3,3023,0.04,2023-10-15,0,9069,362.76,8706.24,2026,2026-03
77,C00004,P0021,2024-05-06,1,22916,0.05,2025-08-18,1,22916,1145.8,21770.2,2024,2024-05
78,C00004,P0070,2024-06-27,1,2480,0.06,2024-07-27,1,2480,148.79999999999998,2331.2,2024,2024-06
79,C00004,P0018,2024-06-30,2,17921,0.07,2024-05-17,0,35842,2508.94,33333.06,2024,2024-06
80,C00004,P0041,2024-07-20,1,3073,0.01,2025-09-29,1,3073,30.73,3042.27,2024,2024-07
81,C00004,P0029,2024-07-01,1,38761,0.03,2023-12-20,0,38761,1162.83,37598.17,2024,2024-07
82,C00004,P0064,2024-07-19,2,26494,0.03,2025-12-09,1,52988,1589.6399999999999,51398.36,2024,2024-07
83,C00004,P0015,2024-08-25,2,9498,0.04,2024-07-30,0,18996,759.84,18236.16,2024,2024-08
84,C00004,P0116,2024-08-09,1,8497,0.04,2025-10-16,1,8497,339.88,8157.12,2024,2024-08
85,C00004,P0065,2024-09-09,3,4389,0.09,2025-07-26,1,13167,1185.03,11981.97,2024,2024-09
86,C00004,P0026,2024-09-27,3,1435,0.03,2025-08-08,1,4305,129.15,4175.85,2024,2024-09
87,C00004,P0013,2024-09-29,2,10349,0.02,2024-06-24,0,20698,413.96000000000004,20284.04,2024,2024-09
88,C00004,P0031,2024-10-13,2,28113,0.02,2023-09-14,0,56226,1124.52,55101.48,2024,2024-10
89,C00004,P0111,2024-11-08,1,8250,0.01,2025-12-20,1,8250,82.5,8167.5,2024,2024-11
90,C00004,P0081,2024-12-20,3,2835,0.0,2024-08-09,0,8505,0.0,8505.0,2024,2024-12
91,C00004,P0055,2024-12-15,1,1930,0.09,2024-03-08,0,1930,173.7,1756.3,2024,2024-12
92,C00004,P0100,2025-01-07,2,2523,0.05,2023-11-19,0,5046,252.3,4793.7,2025,2025-01
93,C00004,P0079,2025-01-26,2,4936,0.02,2023-11-14,0,9872,197.44,9674.56,2025,2025-01
94,C00004,P0021,2025-02-23,2,22916,0.02,2025-08-18,1,45832,916.64,44915.36,2025,2025-02
95,C00004,P0032,2025-04-08,1,1956,0.04,2025-01-29,0,1956,78.24,1877.76,2025,2025-04
96,C00004,P0078,2025-05-29,1,30202,0.0,2025-07-20,1,30202,0.0,30202.0,2025,2025-05
97,C00004,P0055,2025-06-05,1,1930,0.1,2024-03-08,0,1930,193.0,1737.0,2025,2025-06
98,C00004,P0017,2025-08-20,3,9441,0.0,2023-10-15,0,28323,0.0,28323.0,2025,2025-08
99,C00004,P0094,2025-08-18,2,8333,0.01,2024-12-30,0,16666,166.66,16499.34,2025,2025-08
100,C00004,P0030,2025-09-29,2,1840,0.12,2025-02-15,0,3680,441.59999999999997,3238.4,2025,2025-09
101,C00004,P0051,2025-09-19,2,1000,0.07,2023-08-11,0,2000,140.0,1860.0,2025,2025-09
102,C00004,P0117,2025-09-30,3,22643,0.07,2025-09-07,0,67929,4755.030000000001,63173.97,2025,2025-09
103,C00004,P0081,2025-10-13,2,2835,0.19,2024-08-09,0,5670,1077.3,4592.7,2025,2025-10
104,C00004,P0100,2025-10-26,3,2523,0.07,2023-11-19,0,7569,529.83,7039.17,2025,2025-10
105,C00004,P0107,2026-01-15,3,4638,0.08,2024-08-31,0,13914,1113.1200000000001,12800.88,2026,2026-01
106,C00004,P0035,2026-02-01,2,2894,0.09,2023-09-17,0,5788,520.92,5267.08,2026,2026-02
107,C00004,P0069,2026-03-21,3,5639,0.08,2025-11-26,0,16917,1353.3600000000001,15563.64,2026,2026-03
108,C00005,P0050,2024-03-21,1,14239,0.05,2024-06-06,1,14239,711.95,13527.05,2024,2024-03
109,C00005,P0007,2024-03-22,2,16826,0.0,2024-03-14,0,33652,0.0,33652.0,2024,2024-03
110,C00005,P0099,2024-03-17,3,1702,0.23,2025-02-04,1,5106,1174.38,3931.62,2024,2024-03
111,C00005,P0119,2024-03-30,1,45211,0.25,2024-02-18,0,45211,11302.75,33908.25,2024,2024-03
112,C00005,P0058,2024-04-07,3,450,0.07,2025-04-23,1,1350,94.50000000000001,1255.5,2024,2024-04
113,C00005,P0054,2024-04-02,3,1408,0.04,2023-11-21,0,4224,168.96,4055.04,2024,2024-04
114,C00005,P0031,2024-04-05,1,28113,0.08,2023-09-14,0,28113,2249.04,25863.96,2024,2024-04
115,C00005,P0113,2024-04-27,3,1249,0.05,2023-12-13,0,3747,187.35000000000002,3559.65,2024,2024-04
116,C00005,P0030,2024-04-22,2,1840,0.18,2025-02-15,1,3680,662.4,3017.6,2024,2024-04
117,C00005,P0082,2024-05-20,2,6509,0.01,2025-07-15,1,13018,130.18,12887.82,2024,2024-05
118,C00005,P0021,2024-05-29,2,22916,0.19,2025-08-18,1,45832,8708.08,37123.92,2024,2024-05
119,C00005,P0095,2024-05-03,1,5462,0.25,2025-11-09,1,5462,1365.5,4096.5,2024,2024-05
120,C00005,P0081,2024-05-23,3,2835,0.23,2024-08-09,1,8505,1956.15,6548.85,2024,2024-05
121,C00005,P0070,2024-05-19,3,2480,0.07,2024-07-27,1,7440,520.8000000000001,6919.2,2024,2024-05
122,C00005,P0005,2024-05-12,3,8411,0.04,2024-05-20,1,25233,1009.32,24223.68,2024,2024-05
123,C00005,P0069,2024-05-18,1,5639,0.06,2025-11-26,1,5639,338.34,5300.66,2024,2024-05
124,C00005,P0020,2024-06-08,3,1264,0.05,2025-05-08,1,3792,189.60000000000002,3602.4,2024,2024-06
125,C00005,P0023,2024-06-15,1,2907,0.1,2025-04-30,1,2907,290.7,2616.3,2024,2024-06
126,C00005,P0117,2024-06-14,2,22643,0.13,2025-09-07,1,45286,5887.18,39398.82,2024,2024-06
127,C00005,P0113,2024-06-06,2,1249,0.05,2023-12-13,0,2498,124.9,2373.1,2024,2024-06
128,C00005,P0098,2024-07-08,2,924,0.02,2023-07-15,0,1848,36.96,1811.04,2024,2024-07
129,C00005,P0041,2024-07-27,1,3073,0.01,2025-09-29,1,3073,30.73,3042.27,2024,2024-07
130,C00005,P0046,2024-07-11,1,37838,0.09,2024-12-03,1,37838,3405.42,34432.58,2024,2024-07
131,C00005,P0003,2024-07-06,2,49187,0.0,2025-11-01,1,98374,0.0,98374.0,2024,2024-07
132,C00005,P0062,2024-08-15,2,2148,0.1,2024-01-15,0,4296,429.6,3866.4,2024,2024-08
133,C00005,P0106,2024-08-02,1,1474,0.04,2024-08-28,1,1474,58.96,1415.04,2024,2024-08
134,C00005,P0083,2024-08-09,1,3718,0.07,2023-08-08,0,3718,260.26000000000005,3457.74,2024,2024-08
135,C00005,P0109,2024-08-27,1,1820,0.06,2026-01-05,1,1820,109.2,1710.8,2024,2024-08
136,C00005,P0050,2024-10-24,1,14239,0.07,2024-06-06,0,14239,996.7300000000001,13242.27,2024,2024-10
137,C00005,P0091,2024-10-14,3,4994,0.07,2024-12-06,1,14982,1048.74,13933.26,2024,2024-10
138,C00005,P0035,2024-10-11,1,2894,0.01,2023-09-17,0,2894,28.94,2865.06,2024,2024-10
139,C00005,P0066,2024-11-19,1,2073,0.1,2025-04-09,1,2073,207.3,1865.7,2024,2024-11
140,C00005,P0058,2024-11-26,2,450,0.0,2025-04-23,1,900,0.0,900.0,2024,2024-11
141,C00005,P0085,2024-11-21,3,9976,0.19,2025-02-15,1,29928,5686.32,24241.68,2024,2024-11
142,C00005,P0100,2024-11-04,1,2523,0.04,2023-11-19,0,2523,100.92,2422.08,2024,2024-11
143,C00005,P0095,2024-11-26,3,5462,0.03,2025-11-09,1,16386,491.58,15894.42,2024,2024-11
144,C00005,P0030,2024-11-28,3,1840,0.09,2025-02-15,1,5520,496.79999999999995,5023.2,2024,2024-11
145,C00005,P0100,2024-11-07,2,2523,0.06,2023-11-19,0,5046,302.76,4743.24,2024,2024-11
146,C00005,P0060,2024-12-01,1,11069,0.1,2025-11-05,1,11069,1106.9,9962.1,2024,2024-12
147,C00005,P0032,2024-12-12,1,1956,0.08,2025-01-29,1,1956,156.48,1799.52,2024,2024-12
148,C00005,P0110,2024-12-10,1,2108,0.08,2025-07-28,1,2108,168.64000000000001,1939.36,2024,2024-12
149,C00005,P0045,2024-12-19,3,3767,0.08,2025-04-25,1,11301,904.08,10396.92,2024,2024-12
150,C00005,P0088,2024-12-26,1,35723,0.09,2024-06-12,0,35723,3215.0699999999997,32507.93,2024,2024-12
151,C00005,P0118,2024-12-20,3,3405,0.01,2024-06-29,0,10215,102.15,10112.85,2024,2024-12
152,C00005,P0105,2025-01-29,3,49247,0.03,2024-07-04,0,147741,4432.23,143308.77,2025,2025-01
153,C00005,P0002,2025-01-15,2,1370,0.08,2024-11-20,0,2740,219.20000000000002,2520.8,2025,2025-01
154,C00005,P0035,2025-01-28,2,2894,0.1,2023-09-17,0,5788,578.8000000000001,5209.2,2025,2025-01
155,C00005,P0044,2025-02-19,3,1799,0.25,2025-08-27,1,5397,1349.25,4047.75,2025,2025-02
156,C00005,P0013,2025-02-05,3,10349,0.16,2024-06-24,0,31047,4967.52,26079.48,2025,2025-02
157,C00005,P0104,2025-03-06,2,3266,0.08,2025-03-30,1,6532,522.5600000000001,6009.44,2025,2025-03
158,C00005,P0101,2025-03-11,1,25363,0.1,2023-11-12,0,25363,2536.3,22826.7,2025,2025-03
159,C00005,P0051,2025-03-18,1,1000,0.0,2023-08-11,0,1000,0.0,1000.0,2025,2025-03
160,C00005,P0092,2025-03-06,3,803,0.04,2024-07-26,0,2409,96.36,2312.64,2025,2025-03
161,C00005,P0073,2025-03-03,2,4368,0.06,2025-05-28,1,8736,524.16,8211.84,2025,2025-03
162,C00005,P0039,2025-03-30,1,4937,0.03,2025-02-20,0,4937,148.10999999999999,4788.89,2025,2025-03
163,C00005,P0047,2025-04-04,3,1018,0.09,2025-03-16,0,3054,274.86,2779.14,2025,2025-04
164,C00005,P0014,2025-04-15,3,5630,0.07,2024-09-03,0,16890,1182.3000000000002,15707.7,2025,2025-04
165,C00005,P0105,2025-05-17,3,49247,0.01,2024-07-04,0,147741,1477.41,146263.59,2025,2025-05
166,C00005,P0115,2025-05-06,2,7554,0.02,2023-12-13,0,15108,302.16,14805.84,2025,2025-05
167,C00005,P0059,2025-05-16,1,2027,0.02,2024-09-03,0,2027,40.54,1986.46,2025,2025-05
168,C00005,P0009,2025-06-29,3,2189,0.08,2024-05-13,0,6567,525.36,6041.64,2025,2025-06
169,C00005,P0043,2025-06-21,3,1946,0.08,2025-12-10,1,5838,467.04,5370.96,2025,2025-06
170,C00005,P0050,2025-06-14,2,14239,0.01,2024-06-06,0,28478,284.78000000000003,28193.22,2025,2025-06
171,C00005,P0027,2025-06-21,3,7517,0.04,2026-03-09,1,22551,902.04,21648.96,2025,2025-06
172,C00005,P0102,2025-06-13,3,7244,0.0,2024-08-06,0,21732,0.0,21732.0,2025,2025-06
173,C00005,P0112,2025-06-07,2,9448,0.21,2026-03-24,1,18896,3968.16,14927.84,2025,2025-06
174,C00005,P0078,2025-06-17,2,30202,0.09,2025-07-20,1,60404,5436.36,54967.64,2025,2025-06
175,C00005,P0026,2025-07-25,2,1435,0.01,2025-08-08,1,2870,28.7,2841.3,2025,2025-07
176,C00005,P0032,2025-07-25,1,1956,0.02,2025-01-29,0,1956,39.12,1916.88,2025,2025-07
177,C00005,P0113,2025-07-09,2,1249,0.04,2023-12-13,0,2498,99.92,2398.08,2025,2025-07
178,C00005,P0024,2025-08-26,2,1856,0.19,2024-02-08,0,3712,705.28,3006.7200000000003,2025,2025-08
179,C00005,P0067,2025-08-08,1,2745,0.13,2024-12-26,0,2745,356.85,2388.15,2025,2025-08
180,C00005,P0114,2025-08-25,2,856,0.07,2023-10-07,0,1712,119.84000000000002,1592.16,2025,2025-08
181,C00005,P0073,2025-08-05,2,4368,0.18,2025-05-28,0,8736,1572.48,7163.52,2025,2025-08
182,C00005,P0008,2025-08-15,1,1087,0.27,2025-02-02,0,1087,293.49,793.51,2025,2025-08
183,C00005,P0120,2025-10-14,2,8402,0.0,2023-10-28,0,16804,0.0,16804.0,2025,2025-10
184,C00005,P0026,2025-10-22,2,1435,0.04,2025-08-08,0,2870,114.8,2755.2,2025,2025-10
185,C00005,P0110,2025-11-04,1,2108,0.24,2025-07-28,0,2108,505.91999999999996,1602.08,2025,2025-11
186,C00005,P0030,2025-11-06,3,1840,0.03,2025-02-15,0,5520,165.6,5354.4,2025,2025-11
187,C00005,P0042,2025-11-30,1,1953,0.0,2026-01-28,1,1953,0.0,1953.0,2025,2025-11
188,C00005,P0086,2025-11-15,2,41602,0.04,2025-11-17,1,83204,3328.16,79875.84,2025,2025-11
189,C00005,P0014,2025-11-19,3,5630,0.01,2024-09-03,0,16890,168.9,16721.1,2025,2025-11
190,C00005,P0047,2025-11-06,2,1018,0.09,2025-03-16,0,2036,183.23999999999998,1852.76,2025,2025-11
191,C00005,P0027,2025-12-03,2,7517,0.06,2026-03-09,1,15034,902.04,14131.96,2025,2025-12
192,C00005,P0020,2025-12-23,1,1264,0.04,2025-05-08,0,1264,50.56,1213.44,2025,2025-12
193,C00005,P0006,2025-12-03,1,2561,0.1,2024-01-13,0,2561,256.1,2304.9,2025,2025-12
