customer_id,customer_segment,acquisition_channel,location,age,gender,total_orders,total_units,total_revenue,net_revenue,total_cost,gross_profit,gross_margin_percentage,average_order_value,first_purchase_date,last_purchase_date,recency_days,customer_lifespan_days,total_interactions,views,clicks,add_to_carts,email_opens,channels_used,interaction_types_used,has_interaction_history,annualized_order_frequency,click_rate,add_to_cart_rate,email_open_share,future_orders,future_revenue,churned,churn_probability,churn_probability_percentage,predicted_churn,rfm_recency_score,rfm_frequency_score,rfm_monetary_score,rfm_score,rfm_total_score,rfm_segment,churn_risk,customer_value,expected_revenue_at_risk,expected_profit_at_risk,retention_score,retention_priority,retention_action,retention_rank
C00398,medium,referral,Chennai,47,female,23,43,535988,476245.96,384490.06,91755.89999999998,19.27,20706.35,2024-05-22,2025-12-10,21,567,265,153,58,29,25,3,4,1,14.81,0.2189,0.1094,0.0943,0,0.0,1,0.7832869325323374,78.32869325323374,1,3,4,4,344,11,High Value,High Risk,91755.89999999998,419832.3963941425,71871.19745274389,0.8699721595194024,High,Targeted retention campaign,74
C00535,medium,referral,Mumbai,33,female,22,46,485624,420134.32,346852.7,73281.61999999998,17.44,19097.01,2024-10-17,2025-12-09,22,418,244,116,65,45,18,3,4,1,19.21,0.2664,0.1844,0.0738,0,0.0,1,0.7743518790237544,77.43518790237543,1,3,4,4,344,11,High Value,High Risk,73281.61999999998,376043.85689903167,56745.76014490472,0.8561590681328825,High,Targeted retention campaign,91
C01001,medium,ads,Bangalore,30,male,21,38,412183,371676.1,306623.89,65052.20999999999,17.5,17698.86,2024-12-28,2025-12-17,14,354,203,104,59,24,16,3,4,1,21.65,0.2906,0.1182,0.0788,0,0.0,1,0.7937998876123877,79.37998876123878,1,3,4,4,344,11,High Value,High Risk,65052.20999999999,327190.8190757368,51638.43698693744,0.8644543278209431,High,Targeted retention campaign,83
C00894,medium,organic,Mumbai,38,female,25,50,399279,367229.88,281105.05,86124.82999999997,23.45,14689.2,2024-03-20,2025-12-15,16,635,342,172,91,51,28,3,4,1,14.37,0.2661,0.1491,0.0819,0,0.0,1,0.7103256743256747,71.03256743256748,1,3,4,4,344,11,High Value,High Risk,86124.82999999997,283618.1249190811,61176.67794593408,0.8204326489701168,High,Targeted retention campaign,124
C01052,medium,organic,Chennai,32,male,19,33,365830,346664.61,259007.77,87656.83999999998,25.29,18245.51,2024-09-12,2025-12-15,16,459,229,121,48,38,22,3,4,1,15.11,0.2096,0.1659,0.0961,0,0.0,1,0.7315911194606047,73.15911194606048,1,3,4,4,344,11,High Value,High Risk,87656.83999999998,267637.979232273,64128.96570397911,0.834877719570259,High,Targeted retention campaign,111
C01096,medium,organic,Hyderabad,18,male,14,24,329295,279045.65,226430.9,52614.75,18.86,19931.83,2024-12-26,2025-12-29,2,368,192,102,50,17,23,3,4,1,13.89,0.2604,0.0885,0.1198,0,0.0,1,0.7593936827061829,75.93936827061829,1,5,3,3,533,11,Recent Customers,High Risk,52614.75,250064.5427467325,39955.30876716514,0.8346357060275101,High,Targeted retention campaign,112
C00537,medium,ads,Bhubaneswar,44,male,14,32,317100,289905.64,224754.83,65150.809999999976,22.47,20707.55,2025-02-11,2025-11-14,47,276,154,78,41,23,12,3,4,1,18.51,0.2662,0.1494,0.0779,0,0.0,1,0.71805212801904,71.80521280190399,1,2,3,3,233,8,Needs Attention,High Risk,65150.809999999976,227694.3297948376,46781.67776266413,0.8154726022400571,High,Targeted retention campaign,127
C00695,medium,ads,Kolkata,18,male,17,36,263494,242964.18,191549.87,51414.31,21.16,14292.01,2024-05-20,2025-12-05,26,564,278,153,63,34,28,3,4,1,11.0,0.2266,0.1223,0.1007,0,0.0,1,0.7788926698301699,77.889266983017,1,2,3,3,233,8,Needs Attention,High Risk,51414.31,205233.5451442308,40046.229183376,0.8464163996723517,High,Targeted retention campaign,99
C01082,low,organic,Chennai,64,male,5,13,208281,178617.72,142693.25999999998,35924.46000000001,20.11,35723.54,2024-11-21,2025-09-12,110,295,91,60,11,12,8,3,4,1,6.19,0.1209,0.1319,0.0879,0,0.0,1,0.9601861341273108,96.01861341273109,1,1,2,3,123,6,Hibernating,High Risk,35924.46000000001,199988.5282021704,34494.16836801122,0.949854198331211,High,Targeted retention campaign,4
C00819,low,organic,Hyderabad,42,male,5,10,181496,173353.49000000002,133543.69,39809.8,22.96,34670.7,2024-04-22,2025-03-12,294,324,58,29,14,9,6,3,4,1,5.63,0.2414,0.1552,0.1034,0,0.0,1,0.9763698462485229,97.63698462485227,1,1,2,2,122,5,Hibernating,High Risk,39809.8,177207.22161472187,38869.08830518444,0.9638355350609826,High,Targeted retention campaign,2
