location,customers,revenue,customer_value,expected_revenue_at_risk,expected_profit_at_risk,avg_churn_probability,predicted_churners,churn_rate
Mumbai,107,49033212,10487779.68,2442901.3579584756,538313.6323877616,22.37343470764641,22,20.5607476635514
Chennai,95,30776746,6568563.42,2174419.648691481,435991.6289661582,20.215925456380564,15,15.789473684210526
Bhubaneswar,96,41360777,8850185.19,1996963.959767363,422669.409858964,20.001242693236602,15,15.625
Hyderabad,79,33191358,7198650.31,1841104.1074582974,389566.87110913434,20.762500074960737,14,17.72151898734177
Bangalore,108,39694194,8534879.84,1686901.0309078454,346076.02601531113,17.59794623435146,14,12.962962962962962
Jaipur,102,42584009,8781805.51,1604990.8621832205,336709.08210067335,20.77060653453161,18,17.647058823529413
Ahmedabad,102,40320331,8613298.049999999,1564640.1987062972,296672.0904695958,18.6963677993105,16,15.686274509803921
Delhi,102,41702058,9109288.91,1353523.0688904217,299072.5082141717,21.706923906363244,18,17.647058823529413
Kolkata,82,28042260,6202121.079999999,1219450.2823243954,267107.79781403294,17.26623162571254,11,13.414634146341465
Pune,94,33292074,7143427.93,1136040.1223774934,258207.14352209299,18.799383241675752,15,15.957446808510639
