rfm_segment,churn_risk,customers,revenue,expected_revenue_at_risk,expected_profit_at_risk,avg_churn_probability
Hibernating,High Risk,130,3835108,3631089.806539395,826357.2132737541,97.55022327197771
At Risk High Value,Low Risk,92,51961157,2176650.8652493767,448666.1675335822,4.80640910311626
Champions,Low Risk,188,181405169,1914913.0954073793,395293.49505373836,1.4865641327018797
High Value,High Risk,5,2198904,1674323.1765202652,305561.0382344992,75.86710985909517
High Value,Low Risk,102,66283304,1670493.6660124431,350948.7359957414,3.3301583342727334
Needs Attention,Low Risk,113,21012466,1376827.1421257372,305164.0848457321,7.37375112269519
Recent Customers,Low Risk,149,22958945,1163407.0967489006,231500.82263232386,7.648665100280027
Hibernating,Low Risk,98,11391743,851137.8033873771,187606.01070680097,10.32231678841616
Needs Attention,High Risk,8,1053339,820093.2435983458,169104.7656753665,80.40061128850992
Recent Customers,High Risk,8,789685,630007.6873270897,139696.3796437315,86.30029186244722
Potential Loyalists,Low Risk,46,10705624,612159.6583657606,124447.64485045451,5.6336108010080945
Loyal Customers,Low Risk,21,5902623,212026.50253458868,43707.05063965846,3.6702035058390057
Hibernating,Medium Risk,2,200862,124957.91563112932,26978.557161954708,64.13394504800758
Recent Customers,Medium Risk,3,188501,99928.47778418112,18514.319818711556,59.58122872497874
Needs Attention,Medium Risk,2,109589,62918.50203332167,16839.90439184641,57.300227591036425
