customer_id,customer_segment,acquisition_channel,location,age,gender,total_orders,total_units,total_revenue,net_revenue,total_cost,gross_profit,gross_margin_percentage,average_order_value,first_purchase_date,last_purchase_date,recency_days,customer_lifespan_days,total_interactions,views,clicks,add_to_carts,email_opens,channels_used,interaction_types_used,has_interaction_history,annualized_order_frequency,click_rate,add_to_cart_rate,email_open_share,future_orders,future_revenue,churned,churn_probability,churn_probability_percentage,predicted_churn,rfm_recency_score,rfm_frequency_score,rfm_monetary_score,rfm_score,rfm_total_score,rfm_segment,churn_risk,customer_value,expected_revenue_at_risk,expected_profit_at_risk,retention_score,retention_priority,retention_action,retention_rank
C00161,low,referral,Mumbai,18,female,1,2,47274,36400.98,36716.0,-315.0199999999968,-0.87,36400.98,2025-09-11,2025-09-11,111,0,30,18,6,2,4,3,4,1,1.0,0.2,0.0667,0.1333,0,0.0,1,0.9762599206349206,97.62599206349206,1,1,1,1,111,3,Hibernating,High Risk,47274.0,46151.71148809524,46151.71148809524,0.9699123374984746,High,Targeted retention campaign,1
C00819,low,organic,Hyderabad,42,male,5,10,181496,173353.49000000002,133543.69,39809.8,22.96,34670.7,2024-04-22,2025-03-12,294,324,58,29,14,9,6,3,4,1,5.63,0.2414,0.1552,0.1034,0,0.0,1,0.9763698462485229,97.63698462485227,1,1,2,2,122,5,Hibernating,High Risk,39809.8,177207.22161472187,38869.08830518444,0.9638355350609826,High,Targeted retention campaign,2
C00134,low,organic,Jaipur,36,other,1,3,147741,141831.36,105299.7,36531.65999999997,25.76,141831.36,2025-02-14,2025-02-14,320,0,62,34,18,7,3,3,4,1,1.0,0.2903,0.1129,0.0484,0,0.0,1,0.9802256297446514,98.02256297446516,1,1,1,2,112,4,Hibernating,High Risk,36531.65999999997,144819.51476410456,35809.26942911746,0.9632162353028724,High,Targeted retention campaign,3
C01082,low,organic,Chennai,64,male,5,13,208281,178617.72,142693.25999999998,35924.46000000001,20.11,35723.54,2024-11-21,2025-09-12,110,295,91,60,11,12,8,3,4,1,6.19,0.1209,0.1319,0.0879,0,0.0,1,0.9601861341273108,96.01861341273109,1,1,2,3,123,6,Hibernating,High Risk,35924.46000000001,199988.5282021704,34494.16836801122,0.949854198331211,High,Targeted retention campaign,4
C00341,low,organic,Mumbai,30,female,1,2,90422,89517.78,68421.32,21096.459999999992,23.57,89517.78,2024-02-28,2024-02-28,672,0,13,8,1,2,2,3,4,1,1.0,0.0769,0.1538,0.1538,0,0.0,1,0.9885341614906832,98.85341614906832,1,1,1,2,112,4,Hibernating,High Risk,21096.459999999992,89385.23595031055,20854.57139652173,0.9488637614144028,High,Targeted retention campaign,5
C00620,low,organic,Kolkata,32,female,1,2,83204,79875.84,54922.98,24952.86,31.24,79875.84,2025-05-09,2025-05-09,236,0,27,9,12,3,3,3,4,1,1.0,0.4444,0.1111,0.1111,0,0.0,1,0.9737846575224292,97.37846575224292,1,1,1,2,112,4,Hibernating,High Risk,24952.86,81022.77864449621,24298.71222930512,0.9454812230177227,High,Targeted retention campaign,6
C00482,low,ads,Jaipur,47,male,2,6,75072,70133.15999999999,51008.04,19125.11999999999,27.27,35066.58,2025-06-21,2025-09-30,92,101,30,18,6,5,1,3,4,1,7.23,0.2,0.1667,0.0333,0,0.0,1,0.9838938492063491,98.38938492063492,1,1,1,2,112,4,Hibernating,High Risk,19125.11999999999,73862.87904761905,18817.087933333325,0.9424023546961244,High,Targeted retention campaign,7
C00424,low,ads,Delhi,48,male,2,3,101125,95531.12,68977.66,26553.46,27.8,47765.56,2025-03-25,2025-07-17,167,114,47,19,15,9,4,3,4,1,6.4,0.3191,0.1915,0.0851,0,0.0,1,0.9638772130647132,96.3877213064713,1,1,1,2,112,4,Hibernating,High Risk,26553.46,97472.08317116911,25594.275022025337,0.9413947517684798,High,Targeted retention campaign,8
C01195,low,organic,Kolkata,48,male,2,3,73286,73175.6,53874.23,19301.37,26.38,36587.8,2024-03-01,2024-05-01,609,61,31,15,8,4,4,3,4,1,11.97,0.2581,0.129,0.129,0,0.0,1,0.9812667748917748,98.1266774891775,1,1,1,2,112,4,Hibernating,High Risk,19301.37,71913.11686471861,18939.793090892857,0.94105859283255,High,Targeted retention campaign,9
C00322,low,ads,Mumbai,33,female,4,6,66265,58773.45,42379.21,16394.239999999998,27.89,14693.36,2024-04-17,2024-12-22,374,249,58,27,14,10,7,3,4,1,5.86,0.2414,0.1724,0.1207,0,0.0,1,0.9787525676937442,97.87525676937442,1,1,2,2,122,5,Hibernating,High Risk,16394.239999999998,64857.03889822596,16045.904495387487,0.933619378617785,High,Targeted retention campaign,10
